Time,Symbol,Qty,Side,Entry,Exit,PnL
2025-07-23 15:10:37,TATAMOTORS,1,BUY,686.6,690,3.3999999999999773
2025-07-23 15:10:40,SHRIRAMFIN,2,BUY,650.75,654.25,7.0
2025-07-23 15:10:44,SBIN,1,BUY,816.6,819.9,3.2999999999999545
2025-07-23 15:10:47,BAJFINANCE,1,BUY,965.9,968.5,2.6000000000000227
2025-07-23 15:10:51,BEL,3,BUY,398.3,400.05,5.25
2025-07-23 15:10:54,JIOFIN,4,BUY,313.75,313.85,0.40000000000009095
2025-07-23 15:10:58,TATACONSUM,1,BUY,1057.9,1062,4.099999999999909
2025-07-23 15:11:01,WIPRO,5,BUY,260.75,261.6,4.250000000000114
2025-07-23 15:11:05,DRREDDY,1,BUY,1241.3,1249.1,7.7999999999999545
2025-07-23 15:11:08,HINDALCO,1,BUY,691.85,695.25,3.3999999999999773
2025-07-23 15:11:12,ITC,3,BUY,414.95,414.9,-0.1500000000000341
2025-07-23 15:11:15,JSWSTEEL,1,BUY,1030.1,1031.1,1.0
2025-07-23 15:11:19,NTPC,3,BUY,343.1,342.85,-0.75
2025-07-23 15:11:22,POWERGRID,4,BUY,298.95,299,0.20000000000004547
2025-07-23 15:11:26,TATASTEEL,8,BUY,162.81,162.75,-0.4800000000000182
2025-07-23 15:11:29,COALINDIA,3,BUY,390.65,390.75,0.3000000000000682
